Species.ID,Common.Name,TaxonLevel,TaxonID,TaxonName,TaxonScientificName,FamilyCommonName,FamilyScientificName,Order
111,Common Gull-billed Tern,sp,111,Common Gull-billed Tern,Gelochelidon nilotica,"Gulls, Terns and Noddies",Laridae,Charadriiformes
68,Fluttering Shearwater,sp,u68,Fluttering Shearwater,Puffinus gavia,Petrels and Shearwaters,Procellariidae,Procellariiformes
945,Pomarine Jaeger,sp,u945,Pomarine Jaeger,Stercorarius pomarinus,Skuas and Jaegers,Stercorariidae,Charadriiformes
913,Hutton's Shearwater,sp,u913,Hutton's Shearwater,Puffinus huttoni,Petrels and Shearwaters,Procellariidae,Procellariiformes
69,Wedge-tailed Shearwater,sp,69,Wedge-tailed Shearwater,Ardenna pacifica,Petrels and Shearwaters,Procellariidae,Procellariiformes
91,Shy Albatross,sp,u91,Shy Albatross,Thalassarche cauta,Albatrosses,Diomedeidae,Procellariiformes
124,Black Noddy,sp,124,Black Noddy,Anous minutus,"Gulls, Terns and Noddies",Laridae,Charadriiformes
5072,Shy/White-capped Albatross spp,,,,,,,
77,White-headed Petrel,sp,u77,White-headed Petrel,Pterodroma lessonii,Petrels and Shearwaters,Procellariidae,Procellariiformes
952,Arctic Tern,sp,u952,Arctic Tern,Sterna paradisaea,"Gulls, Terns and Noddies",Laridae,Charadriiformes
108,White-tailed Tropicbird,sp,108,White-tailed Tropicbird,Phaethon lepturus,Tropicbirds,Phaethontidae,Phaetontiformes
65,White-faced Storm-Petrel,sp,65,White-faced Storm-Petrel,Pelagodroma marina,Southern Storm-Petrels,Oceanitidae,Procellariiformes
120,Sooty Tern,sp,120,Sooty Tern,Onychoprion fuscatus,"Gulls, Terns and Noddies",Laridae,Charadriiformes
70,Sooty Shearwater,sp,u70,Sooty Shearwater,Ardenna grisea,Petrels and Shearwaters,Procellariidae,Procellariiformes
85,Common Diving-Petrel,sp,85,Common Diving-Petrel,Pelecanoides urinatrix,Petrels and Shearwaters,Procellariidae,Procellariiformes
931,Buller's Albatross,sp,931,Buller's Albatross,Thalassarche bulleri,Albatrosses,Diomedeidae,Procellariiformes
88,Black-browed Albatross,sp,u88,Black-browed Albatross,Thalassarche melanophris,Albatrosses,Diomedeidae,Procellariiformes
8681,Grey-faced Petrel,sp,u8681,Grey-faced Petrel,Pterodroma gouldi,Petrels and Shearwaters,Procellariidae,Procellariiformes
127,Brown Skua,sp,127,Brown Skua,Catharacta antarctica,Skuas and Jaegers,Stercorariidae,Charadriiformes
72,Flesh-footed Shearwater,sp,u72,Flesh-footed Shearwater,Ardenna carneipes,Petrels and Shearwaters,Procellariidae,Procellariiformes
105,Masked Booby,sp,105,Masked Booby,Sula dactylatra,Gannets and Boobies,Sulidae,Pelecaniformes
94,Great Frigatebird,sp,94,Great Frigatebird,Fregata minor,Frigatebirds,Fregatidae,Pelecaniformes
885,Franklin's Gull,sp,u885,Franklin's Gull,Larus pipixcan,"Gulls, Terns and Noddies",Laridae,Charadriiformes
107,Red-tailed Tropicbird,sp,107,Red-tailed Tropicbird,Phaethon rubricauda,Tropicbirds,Phaethontidae,Phaetontiformes
90,Grey-headed Albatross,sp,u90,Grey-headed Albatross,Thalassarche chrysostoma,Albatrosses,Diomedeidae,Procellariiformes
