Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Conservation Advice,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
18981,Acacia armitii, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Near Threatened,Acacia armitii,,,,,,,,,Near Threatened,Acacia armitii,,,,Present,,,,,,,,,,,,,
65110,Acacia asepala, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Near Threatened,Acacia asepala,,,,,,,,,,,,,,,,,
92011,Acacia aspera subsp. parviceps,Rough Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Endangered,Acacia aspera subsp. parviceps,,,,,,,,,,,,,,,,,,,,,
10179,Acacia assimilis, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia assimilis,,,,,,,,,,,,,,,,,
2037,Acacia ataxiphylla, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Near Threatened,Acacia ataxiphylla,,,,,,,,,,,,,,,,,
64823,Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,Acacia ataxiphylla subsp. magna,16-Jul-00,,1-Oct-15,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Endangered,Acacia ataxiphylla subsp. magna,,,,,,,,,,Endemic,,,,,,,,,
82665,Acacia atrox,Myall Creek Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Critically Endangered,Acacia atrox,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
10690,Acacia attenuata, ,Vulnerable,Acacia attenuata,16-Jul-00,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia attenuata,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
19262,Acacia aulacocarpa,"Hickory Wattle, Brown Salwood, Brush Ironbark Wattle",,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,"Least Concern, Least Concern","Acacia aulacocarpa, Acacia lamprocarpa",,,,,,,,,,,,,,,,,
64824,Acacia auratiflora,Orange-flowered Wattle,Endangered,Acacia auratiflora,16-Jul-00,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia auratiflora,Vulnerable,Acacia auratiflora,,,,,,,,Endemic,,,,,,,,,
